
STATUS | wrapper  | 2015/07/16 09:54:37 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/07/16 09:54:38 | Java Service Wrapper Professional Edition 32-bit 3.5.26
STATUS | wrapper  | 2015/07/16 09:54:38 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2015/07/16 09:54:38 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2015/07/16 09:54:38 | 
ERROR  | wrapper  | 2015/07/16 09:54:38 | License Error:
ERROR  | wrapper  | 2015/07/16 09:54:38 | A valid license was not found in the Wrapper configuration file.
ERROR  | wrapper  | 2015/07/16 09:54:38 | 
ERROR  | wrapper  | 2015/07/16 09:54:38 | The Java Service Wrapper requires a License Key to activate the
ERROR  | wrapper  | 2015/07/16 09:54:38 | software.  License Keys can be purchased on the Java Service Wrapper
ERROR  | wrapper  | 2015/07/16 09:54:38 | web site:
ERROR  | wrapper  | 2015/07/16 09:54:38 |   http://wrapper.tanukisoftware.com/purchase
ERROR  | wrapper  | 2015/07/16 09:54:38 | 
ERROR  | wrapper  | 2015/07/16 09:54:38 | You can also immediately obtain a one-month Free trial license:
ERROR  | wrapper  | 2015/07/16 09:54:38 |   http://wrapper.tanukisoftware.com/trial
ERROR  | wrapper  | 2015/07/16 09:54:38 | 
ERROR  | wrapper  | 2015/07/16 09:54:38 | License Keys can be generated for any of the following HostIds.
ERROR  | wrapper  | 2015/07/16 09:54:38 |   HostId(s):
ERROR  | wrapper  | 2015/07/16 09:54:38 |     d4bed9cf75c3 (#1)
ERROR  | wrapper  | 2015/07/16 09:54:38 | 
ERROR  | wrapper  | 2015/07/16 09:54:38 | 
ERROR  | wrapper  | 2015/07/16 09:54:38 | Optional host name for license: zj-PC
STATUS | wrapper  | 2015/07/16 09:54:38 | <-- Wrapper Stopped
STATUS | wrapperm | 2015/07/16 09:55:03 | testReconciliation service installed.
STATUS | wrapper  | 2015/07/16 09:56:09 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/07/16 09:56:09 | Java Service Wrapper Professional Edition 32-bit 3.5.26
STATUS | wrapper  | 2015/07/16 09:56:09 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2015/07/16 09:56:09 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2015/07/16 09:56:09 | 
ERROR  | wrapper  | 2015/07/16 09:56:09 | License Error:
ERROR  | wrapper  | 2015/07/16 09:56:09 | A valid license was not found in the Wrapper configuration file.
ERROR  | wrapper  | 2015/07/16 09:56:09 | 
ERROR  | wrapper  | 2015/07/16 09:56:09 | The Java Service Wrapper requires a License Key to activate the
ERROR  | wrapper  | 2015/07/16 09:56:09 | software.  License Keys can be purchased on the Java Service Wrapper
ERROR  | wrapper  | 2015/07/16 09:56:09 | web site:
ERROR  | wrapper  | 2015/07/16 09:56:09 |   http://wrapper.tanukisoftware.com/purchase
ERROR  | wrapper  | 2015/07/16 09:56:09 | 
ERROR  | wrapper  | 2015/07/16 09:56:09 | You can also immediately obtain a one-month Free trial license:
ERROR  | wrapper  | 2015/07/16 09:56:09 |   http://wrapper.tanukisoftware.com/trial
